"filename", "language", "Properties", "JSON", "JavaScript", "JavaScript JSX", "Markdown", "SCSS", "comment", "blank", "total"
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\.env", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\package-lock.json", "JSON", 0, 1415, 0, 0, 0, 0, 0, 0, 1415
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\package.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\App.js", "JavaScript", 0, 0, 4, 0, 0, 0, 21, 0, 25
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\CaptchaInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 10, 1, 11
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\Dashboard\DashboardComponent.jsx", "JavaScript JSX", 0, 0, 0, 142, 0, 0, 10, 22, 174
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 4, 11
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\IndexComponent.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\TakeANumber\NumberComponent.jsx", "JavaScript JSX", 0, 0, 0, 154, 0, 0, 37, 16, 207
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\UserIndexComponent.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 0, 7, 25
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\appointments\CreateAppointment.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 8, -1, 7
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\chat\ChatButton.jsx", "JavaScript JSX", 0, 0, 0, 56, 0, 0, 2, 7, 65
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\chat\ChatComponent.jsx", "JavaScript JSX", 0, 0, 0, 143, 0, 0, 13, 18, 174
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\commit\CommentManagement.jsx", "JavaScript JSX", 0, 0, 0, 194, 0, 0, 69, 16, 279
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\commit\UserCommentComponent.jsx", "JavaScript JSX", 0, 0, 0, 137, 0, 0, 59, 15, 211
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\components\editer\TextEditerComponent.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 0, 0, 8, 15
