"filename", "language", "Properties", "JSON", "JavaScript", "JavaScript JSX", "CSS", "XML", "Markdown", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\.env", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\.idea\government-service-queuing-system.iml", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 33, 71
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\package-lock.json", "JSON", 0, 21492, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21493
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\package.json", "JSON", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 66
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 6, 39
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\App.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 21, 5, 43
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\api\api.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\api\appointments.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 1, 45
"c:\Users\gianz\Desktop\untitled\government-service-queuing-system\src\api\auth.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
